iter	Passed	Remaining
0	12	12258
1	21	10902
2	32	10933
3	43	10901
4	53	10700
5	64	10688
6	75	10688
7	86	10776
8	99	10956
9	111	11029
10	121	10936
11	130	10774
12	141	10707
13	149	10520
14	160	10506
15	168	10333
16	179	10400
17	190	10392
18	198	10261
19	208	10207
20	217	10123
21	227	10100
22	237	10098
23	247	10045
24	258	10094
25	270	10148
26	279	10073
27	288	10025
28	297	9959
29	307	9952
30	317	9921
31	328	9937
32	340	9977
33	350	9959
34	360	9936
35	371	9939
36	380	9897
37	391	9900
38	399	9847
39	408	9814
40	418	9787
41	426	9735
42	437	9736
43	446	9693
44	456	9684
45	467	9697
46	477	9692
47	490	9737
48	502	9747
49	512	9729
50	524	9768
51	537	9804
52	551	9850
53	561	9832
54	573	9852
55	585	9867
56	595	9847
57	605	9834
58	617	9843
59	626	9820
60	638	9833
61	654	9899
62	668	9948
63	679	9940
64	688	9908
65	700	9917
66	708	9871
67	724	9929
68	736	9942
69	747	9930
70	756	9895
71	767	9886
72	778	9881
73	787	9849
74	799	9854
75	809	9839
76	818	9816
77	829	9808
78	840	9804
79	851	9796
80	864	9809
81	878	9835
82	887	9805
83	898	9795
84	911	9814
85	921	9793
86	932	9781
87	942	9765
88	951	9743
89	962	9736
90	975	9741
91	984	9718
92	998	9733
93	1009	9727
94	1019	9715
95	1031	9708
96	1042	9704
97	1052	9683
98	1063	9676
99	1073	9664
100	1083	9639
101	1094	9639
102	1104	9618
103	1114	9601
104	1124	9587
105	1133	9561
106	1143	9545
107	1154	9537
108	1163	9514
109	1174	9500
110	1183	9482
111	1195	9478
112	1206	9471
113	1216	9452
114	1227	9447
115	1238	9441
116	1249	9426
117	1260	9421
118	1272	9421
119	1283	9409
120	1293	9397
121	1304	9391
122	1315	9377
123	1326	9369
124	1337	9363
125	1346	9342
126	1358	9339
127	1371	9346
128	1383	9341
129	1400	9371
130	1410	9355
131	1420	9342
132	1430	9325
133	1440	9310
134	1452	9306
135	1462	9290
136	1473	9284
137	1487	9292
138	1499	9287
139	1508	9263
140	1519	9254
141	1527	9231
142	1538	9221
143	1549	9209
144	1557	9183
145	1568	9176
146	1577	9155
147	1589	9151
148	1601	9144
149	1609	9119
150	1619	9107
151	1628	9086
152	1637	9065
153	1647	9048
154	1655	9025
155	1667	9021
156	1679	9019
157	1689	9003
158	1699	8990
159	1708	8967
160	1719	8960
161	1730	8950
162	1738	8926
163	1749	8917
164	1758	8898
165	1768	8885
166	1780	8880
167	1790	8866
168	1802	8864
169	1813	8854
170	1822	8835
171	1833	8825
172	1844	8818
173	1855	8806
174	1866	8801
175	1877	8790
176	1886	8771
177	1898	8766
178	1909	8756
179	1920	8747
180	1932	8742
181	1944	8738
182	1954	8726
183	1966	8720
184	1978	8716
185	1987	8697
186	1999	8692
187	2010	8684
188	2021	8672
189	2032	8663
190	2043	8656
191	2052	8638
192	2065	8634
193	2080	8644
194	2092	8636
195	2101	8618
196	2111	8606
197	2122	8595
198	2132	8583
199	2145	8580
200	2157	8574
201	2163	8544
202	2173	8534
203	2182	8515
204	2193	8507
205	2205	8501
206	2215	8487
207	2226	8477
208	2237	8468
209	2245	8448
210	2257	8439
211	2265	8421
212	2276	8412
213	2287	8402
214	2296	8384
215	2308	8379
216	2319	8369
217	2328	8352
218	2341	8350
219	2352	8341
220	2361	8322
221	2371	8310
222	2380	8293
223	2391	8283
224	2402	8274
225	2411	8258
226	2423	8252
227	2433	8241
228	2443	8227
229	2455	8220
230	2468	8218
231	2478	8205
232	2489	8193
233	2500	8185
234	2509	8169
235	2520	8158
236	2530	8147
237	2540	8133
238	2551	8125
239	2560	8108
240	2572	8100
241	2583	8091
242	2592	8077
243	2603	8067
244	2614	8057
245	2624	8042
246	2634	8032
247	2645	8020
248	2653	8004
249	2664	7993
250	2673	7979
251	2686	7973
252	2698	7968
253	2707	7951
254	2718	7941
255	2728	7928
256	2736	7912
257	2746	7899
258	2754	7881
259	2765	7870
260	2774	7854
261	2784	7842
262	2794	7832
263	2804	7818
264	2816	7811
265	2827	7800
266	2835	7785
267	2847	7777
268	2859	7769
269	2869	7757
270	2880	7747
271	2890	7737
272	2900	7722
273	2910	7711
274	2919	7697
275	2931	7689
276	2942	7679
277	2950	7663
278	2961	7653
279	2970	7638
280	2981	7629
281	2992	7617
282	3000	7603
283	3013	7598
284	3025	7590
285	3033	7574
286	3044	7564
287	3055	7554
288	3065	7541
289	3077	7534
290	3088	7524
291	3098	7512
292	3110	7504
293	3122	7497
294	3130	7481
295	3142	7475
296	3154	7465
297	3163	7451
298	3174	7442
299	3182	7426
300	3193	7417
301	3204	7405
302	3212	7390
303	3222	7378
304	3231	7362
305	3241	7351
306	3251	7339
307	3262	7329
308	3274	7322
309	3285	7313
310	3294	7297
311	3304	7286
312	3312	7270
313	3322	7259
314	3332	7247
315	3342	7235
316	3352	7222
317	3362	7210
318	3374	7204
319	3386	7196
320	3395	7181
321	3405	7171
322	3414	7156
323	3422	7141
324	3432	7129
325	3441	7114
326	3450	7101
327	3458	7086
328	3468	7074
329	3476	7059
330	3487	7049
331	3498	7038
332	3507	7025
333	3517	7014
